LON,LAT,NUMBER,CITY,DISTRICT,REGION,POSTCODE,ID,STREET,UNIT,HASH,ADDRESS
-74.5085285,41.0357749,4,OAK RIDGE,,NJ,7438,,OGDON CT,,3c352978fdb70438,"4 OGDON CT, OAK RIDGE, NJ"
-74.3785931,40.8629423,12,PARSIPPANY,,NJ,7054,,GORDON CIR,,baac457c229bc66f,"12 GORDON CIR, PARSIPPANY, NJ"
-74.5761401,40.7768688,21,MENDHAM,,NJ,7945,,LANGFORD DR,,e7b9cd89127faec6,"21 LANGFORD DR, MENDHAM, NJ"
-74.6609783,40.9051528,4,LANDING,,NJ,7850,,REED RD,,4526e81791b54ed5,"4 REED RD, LANDING, NJ"
-74.3866004,40.8877435,73,LAKE HIAWATHA,,NJ,7034,,VAN WYCK RD,,601f82b48b009d12,"73 VAN WYCK RD, LAKE HIAWATHA, NJ"
-74.4087807,40.8318564,5,WHIPPANY,,NJ,7981,,NEMEC LN,,6ec3f58133f63960,"5 NEMEC LN, WHIPPANY, NJ"
-74.6690015,40.8573836,37,SUCCASUNNA,,NJ,7876,,TAMARACK DR,,f35f087351c60ef4,"37 TAMARACK DR, SUCCASUNNA, NJ"
-74.6415612,40.748328,20,FAR HILLS,,NJ,7931,,SADDLE HILL RD,,f140f2867b4c60e0,"20 SADDLE HILL RD, FAR HILLS, NJ"
-74.4882217,40.8029478,53,MORRISTOWN,,NJ,7960,,MILLS ST,,d8a7dcbabf5fe477,"53 MILLS ST, MORRISTOWN, NJ"
-74.7038071,40.8960936,7,NETCONG,,NJ,7857,,LOCUST ST,,40790b4e53db5c70,"7 LOCUST ST, NETCONG, NJ"
-74.3954947,40.7545184,36,FLORHAM PARK,,NJ,7932,,SHERBROOKE DR,,f2ed04bb5f752027,"36 SHERBROOKE DR, FLORHAM PARK, NJ"
-74.5654255,40.8983135,0,DOVER,,NJ,7801,,GARRISON AVE,,b38619cccb287ecd,"0 GARRISON AVE, DOVER, NJ"
-74.5374565,40.9121459,1112,ROCKAWAY,,NJ,7866,,BUSH CIR,,7dd31d95a16e5618,"1112 BUSH CIR, ROCKAWAY, NJ"
-74.8464831,40.8095351,24,HACKETTSTOWN,,NJ,7840,,RIVER RD,,0d0531aacb0a7b6d,"24 RIVER RD, HACKETTSTOWN, NJ"
-74.3596987,40.8775746,15,PINE BROOK,,NJ,7058,,GATHERING RD,,4db1003b1d9ebe73,"15 GATHERING RD, PINE BROOK, NJ"
-74.4464148,40.8528004,281,PARSIPPANY,,NJ,7054,,HALSEY RD,,575725b34bb5cc66,"281 HALSEY RD, PARSIPPANY, NJ"
-74.6954199,40.8444319,8,FLANDERS,,NJ,7836,,PARK PL,,dd023137ed0a2d74,"8 PARK PL, FLANDERS, NJ"
-74.3322026,40.9962283,3,BUTLER,,NJ,7405,,CLEARY AVE,,9f724fd9df2ca6a9,"3 CLEARY AVE, BUTLER, NJ"
-74.4295201,40.8147956,11,WHIPPANY,,NJ,7981,,KARLA DR,,7f27efd9b1ba242f,"11 KARLA DR, WHIPPANY, NJ"
-74.4604463,40.9101153,7,DENVILLE,,NJ,7834,,ELIZABETH PL,,57ff94ee5ef91aaf,"7 ELIZABETH PL, DENVILLE, NJ"
-74.4686424,40.6745282,32,GILLETTE,,NJ,7933,,LACKAWANNA BLVD,,fb42589abcc1e018,"32 LACKAWANNA BLVD, GILLETTE, NJ"
-74.4257961,40.8977352,74,MOUNTAIN LAKES,,NJ,7046,,KENILWORTH RD,,69f2f324c4e0a04f,"74 KENILWORTH RD, MOUNTAIN LAKES, NJ"
-74.406755,40.8684764,100,PARSIPPANY,,NJ,7054,,VAIL RD,APT R12,e0a4c73bc565d23b,"100 VAIL RD, PARSIPPANY, NJ"
-74.6674386,40.8582382,27,SUCCASUNNA,,NJ,7876,,TAMARACK DR,,df95765a37193f4b,"27 TAMARACK DR, SUCCASUNNA, NJ"
-74.533314,40.9124893,2202,ROCKAWAY,,NJ,7866,,FISCHER CT,,61a7c3cbbe943773,"2202 FISCHER CT, ROCKAWAY, NJ"
-74.4067565,40.8687739,100,PARSIPPANY,,NJ,7054,,VAIL RD,APT P9,49fa1b36f6dfb9cb,"100 VAIL RD, PARSIPPANY, NJ"
-74.4788846,40.8157552,1,MORRISTOWN,,NJ,7960,,FARMHOUSE LN,,f955bde9615b399e,"1 FARMHOUSE LN, MORRISTOWN, NJ"
-74.6187323,40.956599,88,LAKE HOPATCONG,,NJ,7849,,N CHERRY RD,,23492d99c2e5b2a9,"88 N CHERRY RD, LAKE HOPATCONG, NJ"
-74.4238137,40.8891786,3,BOONTON,,NJ,7005,,CEDAR TER,,aff6a0208353c099,"3 CEDAR TER, BOONTON, NJ"
-74.5153807,40.9193568,32,ROCKAWAY,,NJ,7866,,MOHAWK AVE,,07cef389bb3b2707,"32 MOHAWK AVE, ROCKAWAY, NJ"
-74.2996841,40.927346,209,LINCOLN PARK,,NJ,7035,,COMLY RD,APT K2,5a26555eda508f48,"209 COMLY RD, LINCOLN PARK, NJ"
-74.4460154,40.8946664,70,MOUNTAIN LAKES,,NJ,7046,,TOWER HILL RD,,828ac22c7e8dc8d6,"70 TOWER HILL RD, MOUNTAIN LAKES, NJ"
-74.65434,40.8604815,3,SUCCASUNNA,,NJ,7876,,MOUNTAIN VIEW RD,,89f29651e171ccc1,"3 MOUNTAIN VIEW RD, SUCCASUNNA, NJ"
-74.4840226,40.8024196,31,MORRISTOWN,,NJ,7960,,EARLY ST,APT 5G,35d1265b0efe2e18,"31 EARLY ST, MORRISTOWN, NJ"
-74.3508158,40.8584357,100,PARSIPPANY,,NJ,7054,,RT 46 W,,7070ebc0d40d7b2f,"100 RT 46 W, PARSIPPANY, NJ"
-74.3920456,40.7444412,495,CHATHAM,,NJ,7928,,MAIN ST,UNIT 2B,9ed3ab5caa8d2210,"495 MAIN ST, CHATHAM, NJ"
-74.3543428,40.8241659,54,EAST HANOVER,,NJ,7936,,SCHOOL AVE,,7f097e8d5a5f1f6f,"54 SCHOOL AVE, EAST HANOVER, NJ"
-74.5708842,40.8661344,312,RANDOLPH,,NJ,7869,,QUAKER CHURCH RD,APT B3,f53b637ada95dcd6,"312 QUAKER CHURCH RD, RANDOLPH, NJ"
-74.347593,40.8331081,600,EAST HANOVER,,NJ,7936,,RIDGEDALE AVE,,3b4c5e31989e0e31,"600 RIDGEDALE AVE, EAST HANOVER, NJ"
-74.5688543,40.885106,230,DOVER,,NJ,7801,,W BLACKWELL ST,,0f688d33941791a8,"230 W BLACKWELL ST, DOVER, NJ"
-74.2980704,40.9183225,162,LINCOLN PARK,,NJ,7035,,HARVEST LN,,1e585dc607634023,"162 HARVEST LN, LINCOLN PARK, NJ"
-74.4279699,40.7874129,309,FLORHAM PARK,,NJ,7932,,WARD PL,,0050ee2bdbf6d1ba,"309 WARD PL, FLORHAM PARK, NJ"
-74.3551034,41.011204,21,BUTLER,,NJ,7405,,DECKER AVE,,1ce91f573378bbd6,"21 DECKER AVE, BUTLER, NJ"
-74.3953087,40.8660283,200,PARSIPPANY,,NJ,7054,,BALDWIN RD,APT B31,b3200422405f444b,"200 BALDWIN RD, PARSIPPANY, NJ"
-74.444127,40.8069635,89,MORRISTOWN,,NJ,7960,,WHIPPANY RD,,a6db1a8f70246ae1,"89 WHIPPANY RD, MORRISTOWN, NJ"
-74.4850031,40.8028264,20,MORRISTOWN,,NJ,7960,,BELLEVUE TER,,57d558a5b3916b9c,"20 BELLEVUE TER, MORRISTOWN, NJ"
-74.6381965,40.9028529,1,MOUNT ARLINGTON,,NJ,7856,,HILLSIDE DR,APT B109,20d1b229c6e2ba47,"1 HILLSIDE DR, MOUNT ARLINGTON, NJ"
-74.4465995,40.8210286,24,CEDAR KNOLLS,,NJ,7927,,ELM PL,APT 117.,8172c4a1cb1d8069,"24 ELM PL, CEDAR KNOLLS, NJ"
-74.4652611,40.6763158,54,GILLETTE,,NJ,7933,,SUMMIT AVE,,8ed9df5488f85b44,"54 SUMMIT AVE, GILLETTE, NJ"
-74.5381979,40.9864584,5105,OAK RIDGE,,NJ,7438,,BERKSHIRE VALLEY RD,,a26fb68f0216376f,"5105 BERKSHIRE VALLEY RD, OAK RIDGE, NJ"
-74.2883081,40.9203662,510,LINCOLN PARK,,NJ,7035,,RYERSON RD,,eb46f97e9b81fa7a,"510 RYERSON RD, LINCOLN PARK, NJ"
-74.4992507,40.6728713,240,STIRLING,,NJ,7980,,PASSAIC AVE,,f7d970198966f825,"240 PASSAIC AVE, STIRLING, NJ"
-74.650494,40.9193903,3,LANDING,,NJ,7850,,KING RD,,36b06d0e60ba4da7,"3 KING RD, LANDING, NJ"
-74.3932873,40.7641954,24,FLORHAM PARK,,NJ,7932,,PUDDINGSTONE WAY,,c0fcd652004ca81d,"24 PUDDINGSTONE WAY, FLORHAM PARK, NJ"
-74.5427832,40.9285574,629,WHARTON,,NJ,7885,,MOUNT HOPE RD,,4af2b0682e4346df,"629 MOUNT HOPE RD, WHARTON, NJ"
-74.6127755,40.9877387,345,LAKE HOPATCONG,,NJ,7849,,PROSPECT POINT RD,,13e54bcd44828597,"345 PROSPECT POINT RD, LAKE HOPATCONG, NJ"
-74.5452198,40.9139693,2112,ROCKAWAY,,NJ,7866,,FRANKLIN LN,,23ab948dc787f94c,"2112 FRANKLIN LN, ROCKAWAY, NJ"
-74.4338044,40.8902537,61,MOUNTAIN LAKES,,NJ,7046,,BELLVALE RD,,00f67e4143d8b8f5,"61 BELLVALE RD, MOUNTAIN LAKES, NJ"
-74.4563387,40.7760403,1,MORRISTOWN,,NJ,7960,,BRAIDBURN WAY,,4ac96d4e16cd8a39,"1 BRAIDBURN WAY, MORRISTOWN, NJ"
-74.4973269,40.8152919,1,MORRISTOWN,,NJ,7960,,RASKIN RD,,32f96a0d661b79a0,"1 RASKIN RD, MORRISTOWN, NJ"
-74.4789453,40.8736174,20,MOUNT TABOR,,NJ,7878,,FLETCHER PL,,e5a470e4f061a2a4,"20 FLETCHER PL, MOUNT TABOR, NJ"
-74.8033711,40.8192279,18,LONG VALLEY,,NJ,7853,,HIGH RIDGE RD,,ecda00b91c0201ef,"18 HIGH RIDGE RD, LONG VALLEY, NJ"
-74.5598374,40.8635444,415,RANDOLPH,,NJ,7869,,RT 10 W,,60393f4bd5c122f5,"415 RT 10 W, RANDOLPH, NJ"
-74.3827117,40.88821,108,LAKE HIAWATHA,,NJ,7034,,DAFRACK DR,,97f524c2eb117db7,"108 DAFRACK DR, LAKE HIAWATHA, NJ"
-74.423694,40.7702165,164,MADISON,,NJ,7940,,PARK AVE,,6f5b14d8f12345c0,"164 PARK AVE, MADISON, NJ"
-74.7308703,40.8883623,17,BUDD LAKE,,NJ,7828,,VILLAGE GRN,APT D,82f6556e77a9584b,"17 VILLAGE GRN, BUDD LAKE, NJ"
-74.362792,41.0073859,1601,BUTLER,,NJ,7405,,RT 23 N,APT 4,1b07d74b22eb1406,"1601 RT 23 N, BUTLER, NJ"
-74.440114,40.7512066,769,CHATHAM,,NJ,7935,,SHUNPIKE RD,,a9a4a997b23aee97,"769 SHUNPIKE RD, CHATHAM, NJ"
-74.2979776,40.9738954,4,POMPTON PLAINS,,NJ,7444,,LOCKWOOD AVE,,48ddff0ba9ced029,"4 LOCKWOOD AVE, POMPTON PLAINS, NJ"
-74.6174362,40.9862661,4,LAKE HOPATCONG,,NJ,7849,,LEDGEWOOD RD,,604f85cc0a2c209f,"4 LEDGEWOOD RD, LAKE HOPATCONG, NJ"
-74.3820354,40.9213689,41,MONTVILLE,,NJ,7045,,GLENWOOD DR,,a6f61b0463cbde05,"41 GLENWOOD DR, MONTVILLE, NJ"
-74.3448699,40.8212016,379,EAST HANOVER,,NJ,7936,,RIVER RD,,4280cc46dc0c23d2,"379 RIVER RD, EAST HANOVER, NJ"
-74.6349128,40.8788082,810,SUCCASUNNA,,NJ,7876,,RT 46 W,,41559e43d1668440,"810 RT 46 W, SUCCASUNNA, NJ"
-74.4865499,40.7928297,41,MORRISTOWN,,NJ,7960,,MOUNT KEMBLE AVE,,94f0f37cf2a08b5e,"41 MOUNT KEMBLE AVE, MORRISTOWN, NJ"
-74.4599046,40.7903457,190,MORRISTOWN,,NJ,7960,,FRANKLIN ST,,51c77722d9435a4e,"190 FRANKLIN ST, MORRISTOWN, NJ"
-74.5044723,40.9024246,72,ROCKAWAY,,NJ,7866,,DRAKE AVE,,40b915ae4a3f707a,"72 DRAKE AVE, ROCKAWAY, NJ"
-74.542738,40.8328418,34,RANDOLPH,,NJ,7869,,LAKE SHORE DR S,,8fdf5df20a14259d,"34 LAKE SHORE DR S, RANDOLPH, NJ"
-74.4046232,40.9093619,23,BOONTON,,NJ,7005,,HICKORY LN,,784740522fe633b2,"23 HICKORY LN, BOONTON, NJ"
-74.3986703,40.7259164,81,CHATHAM,,NJ,7928,,HIGHLAND AVE,,7fe841dd4d5aaf48,"81 HIGHLAND AVE, CHATHAM, NJ"
-74.7012054,40.8500144,150,FLANDERS,,NJ,7836,,RT 206 N,,6716ec9940d6819d,"150 RT 206 N, FLANDERS, NJ"
-74.5696652,40.8241665,17,RANDOLPH,,NJ,7869,,BROOKSIDE RD,,890f7c002ff15806,"17 BROOKSIDE RD, RANDOLPH, NJ"
-74.6435933,40.8181776,395,CHESTER,,NJ,7930,,NORTH RD,,347ef86aa0705054,"395 NORTH RD, CHESTER, NJ"
-74.409123,40.9082963,318,BOONTON,,NJ,7005,,CHURCH ST,,6ed2709475434b00,"318 CHURCH ST, BOONTON, NJ"
-74.7591354,40.8550797,25,HACKETTSTOWN,,NJ,7840,,VASA DR,,3b8ef7933240be1d,"25 VASA DR, HACKETTSTOWN, NJ"
-74.6938338,40.8572861,75,FLANDERS,,NJ,7836,,OAKWOOD VILLAGE,APT 3,77f9be709458eadc,"75 OAKWOOD VILLAGE, FLANDERS, NJ"
-74.3153141,40.9687666,2006,POMPTON PLAINS,,NJ,7444,,WENDOVER DR,,648dc30ebe44263f,"2006 WENDOVER DR, POMPTON PLAINS, NJ"
-74.273865,40.9123985,25,LINCOLN PARK,,NJ,7035,,VALLEY RD,,0dcbc4d423c56a81,"25 VALLEY RD, LINCOLN PARK, NJ"
-74.6042798,40.96178,27,LAKE HOPATCONG,,NJ,7849,,SWAN LN,,7d4c600268bde38a,"27 SWAN LN, LAKE HOPATCONG, NJ"
-74.3419059,40.9390165,85,TOWACO,,NJ,7082,,JACKSONVILLE RD,,ff88ee21f0d9faf6,"85 JACKSONVILLE RD, TOWACO, NJ"
-74.315771,40.9499811,425,LINCOLN PARK,,NJ,7035,,BEAVER BROOK RD,,5677c2078614dbdf,"425 BEAVER BROOK RD, LINCOLN PARK, NJ"
-74.486845,40.8470097,1311,MOUNT TABOR,,NJ,7950,,GATES CT,,9bf35fc87331a644,"1311 GATES CT, MOUNT TABOR, NJ"
-74.6315354,40.8760645,14,KENVIL,,NJ,7847,,CORWIN ST,,e2959f4502a802a1,"14 CORWIN ST, KENVIL, NJ"
-74.4874437,40.8706735,66,DENVILLE,,NJ,7834,,CLEARMONT AVE,,1fd5f732412245ef,"66 CLEARMONT AVE, DENVILLE, NJ"
-74.366288,40.7543249,1814,FLORHAM PARK,,NJ,7932,,SUN VALLEY WAY,,efd8b29e8406dcad,"1814 SUN VALLEY WAY, FLORHAM PARK, NJ"
-74.5493015,40.8807807,58,DOVER,,NJ,7801,,LIVINGSTON AVE,,8a9e98f82e12cf2a,"58 LIVINGSTON AVE, DOVER, NJ"
-74.4645032,40.9099447,4,DENVILLE,,NJ,7834,,EDGEWATER DR,,45a1a50d51057467,"4 EDGEWATER DR, DENVILLE, NJ"
-74.6323346,40.8167663,17,CHESTER,,NJ,7930,,CRAMER DR,,1b8d571b2089f569,"17 CRAMER DR, CHESTER, NJ"
-74.5257568,41.0246211,14,OAK RIDGE,,NJ,7438,,GREENWOOD DR,,1ab1a65450b62967,"14 GREENWOOD DR, OAK RIDGE, NJ"
-74.4224073,40.7563432,25,MADISON,,NJ,7940,,GREEN HILL RD,,a030659b2caf4bee,"25 GREEN HILL RD, MADISON, NJ"
-74.7007118,40.8400727,77,FLANDERS,,NJ,7836,,CRENSHAW DR,,acd60fe3c6e39115,"77 CRENSHAW DR, FLANDERS, NJ"
-74.7080817,40.84052,240,FLANDERS,,NJ,7836,,RT 206 N,,a3313f807fd7908a,"240 RT 206 N, FLANDERS, NJ"
-74.5603949,40.8875952,23,DOVER,,NJ,7801,,W MC FARLAN ST,,cd3d5bd8900458e4,"23 W MC FARLAN ST, DOVER, NJ"
-74.6035121,40.7808378,106,MENDHAM,,NJ,7945,,DEAN RD,,223f307c080cf07a,"106 DEAN RD, MENDHAM, NJ"
-74.3602524,41.0101975,225,BUTLER,,NJ,7405,,TERRACE LAKE DR,,20017c00455e41a7,"225 TERRACE LAKE DR, BUTLER, NJ"
-74.4677796,40.6763084,450,GILLETTE,,NJ,7933,,MOUNTAIN AVE,,929b811fcf312627,"450 MOUNTAIN AVE, GILLETTE, NJ"
-74.4273903,40.9187292,224,BOONTON,,NJ,7005,,POWERVILLE RD,,1711ce45d97454f5,"224 POWERVILLE RD, BOONTON, NJ"
-74.3268529,40.9847825,1,POMPTON PLAINS,,NJ,7444,,CEDAR CREST VILLAGE DR,UNIT 214,99749d8f011e3a28,"1 CEDAR CREST VILLAGE DR, POMPTON PLAINS, NJ"
-74.3584467,40.8232733,46,EAST HANOVER,,NJ,7936,,ROOSEVELT AVE,,3f03e41729f62d2d,"46 ROOSEVELT AVE, EAST HANOVER, NJ"
-74.4791167,40.8959883,9,DENVILLE,,NJ,7834,,SPRUCE PL,,6cfd1e4612c4841a,"9 SPRUCE PL, DENVILLE, NJ"
-74.3448474,41.0024152,52,BUTLER,,NJ,7405,,KIEL AVE,,d8b8b13ffcab2b7b,"52 KIEL AVE, BUTLER, NJ"
-74.397306,40.8441808,26,PARSIPPANY,,NJ,7054,,SCHUYLER ST,,8a5a86d97efaf0d3,"26 SCHUYLER ST, PARSIPPANY, NJ"
-74.4314573,40.6989976,745,CHATHAM,,NJ,7928,,RIVER RD,,93bab7f9d46089c0,"745 RIVER RD, CHATHAM, NJ"
-74.7931945,40.8703873,160,BUDD LAKE,,NJ,7828,,STEPHENS PARK RD,,bbcba31ecd9d8177,"160 STEPHENS PARK RD, BUDD LAKE, NJ"
-74.8116722,40.7455876,107,CALIFON,,NJ,7830,,TURTLEBACK RD,,d9e20ec961e22f4f,"107 TURTLEBACK RD, CALIFON, NJ"
-74.425904,40.8553447,300,PARSIPPANY,,NJ,7054,,PARSIPPANY RD,APT 2L,6f7d0a9855ecd32b,"300 PARSIPPANY RD, PARSIPPANY, NJ"
-74.2998337,40.9482215,101,PEQUANNOCK,,NJ,7440,,BOULEVARD,,db6da183bc2dcdbf,"101 BOULEVARD, PEQUANNOCK, NJ"
-74.5736347,40.9150841,10,WHARTON,,NJ,7885,,RICHARD MINE RD,,c736d754ee560d91,"10 RICHARD MINE RD, WHARTON, NJ"
-74.5303607,40.9014691,334,ROCKAWAY,,NJ,7866,,MOUNT PLEASANT AVE,,1f30facd094cd911,"334 MOUNT PLEASANT AVE, ROCKAWAY, NJ"
-74.6055171,40.7647155,4,MENDHAM,,NJ,7945,,THOMAS RD,,28418c38bf41d2aa,"4 THOMAS RD, MENDHAM, NJ"
-74.4953319,40.6681106,1328,STIRLING,,NJ,7980,,VALLEY RD,,cc481cab473138e7,"1328 VALLEY RD, STIRLING, NJ"
-74.5513138,40.8415687,9,RANDOLPH,,NJ,7869,,WINDING WAY,,b5ba78a35316b643,"9 WINDING WAY, RANDOLPH, NJ"
-74.4859845,40.8152248,10,MORRISTOWN,,NJ,7960,,AMES RD,,3816748bf6190006,"10 AMES RD, MORRISTOWN, NJ"
-74.3003676,40.9796734,13,POMPTON PLAINS,,NJ,7444,,DE BOW TER,,1c93e7a6a7e4b931,"13 DE BOW TER, POMPTON PLAINS, NJ"
-74.3633727,41.0061005,23,BUTLER,,NJ,7405,,STOCKTON DR,,15b3e538eb96b02e,"23 STOCKTON DR, BUTLER, NJ"
-74.5874272,40.9008933,94,WHARTON,,NJ,7885,,W CENTRAL AVE,,75ad511569928329,"94 W CENTRAL AVE, WHARTON, NJ"
-74.5306342,40.7697583,586,MORRISTOWN,,NJ,7960,,TEMPE WICK RD,,f22d005cd569d073,"586 TEMPE WICK RD, MORRISTOWN, NJ"
-74.5229406,41.0068709,47,OAK RIDGE,,NJ,7438,,PEQUOT TRL,,b0cffedfc27ded30,"47 PEQUOT TRL, OAK RIDGE, NJ"
-74.3783458,40.8717098,18,PARSIPPANY,,NJ,7054,,HADDONFIELD DR,,fd65e57b58486c08,"18 HADDONFIELD DR, PARSIPPANY, NJ"
-74.4885796,40.9007991,9,DENVILLE,,NJ,7834,,STONEBRIDGE CT,,7b1ee17ba4c15890,"9 STONEBRIDGE CT, DENVILLE, NJ"
-74.3271529,40.9854252,1,POMPTON PLAINS,,NJ,7444,,CEDAR CREST VILLAGE DR,UNIT 709,25776bdc4454cad6,"1 CEDAR CREST VILLAGE DR, POMPTON PLAINS, NJ"
-74.346744,40.9993307,20,BUTLER,,NJ,7405,,HILLSIDE AVE,,8ea55901d585a270,"20 HILLSIDE AVE, BUTLER, NJ"
-74.4262203,40.819151,3506,WHIPPANY,,NJ,7981,,APPLETON WAY,,364454fc5f2b3cea,"3506 APPLETON WAY, WHIPPANY, NJ"
-74.5419837,40.8884346,6,DOVER,,NJ,7801,,BEATTY ST,,127be2cca5244046,"6 BEATTY ST, DOVER, NJ"
-74.6528819,40.8526144,32,SUCCASUNNA,,NJ,7876,,RIVENDELL RD,,84ae8764e61f0532,"32 RIVENDELL RD, SUCCASUNNA, NJ"
-74.3991022,40.8676622,1480,PARSIPPANY,,NJ,7054,,RT 46 W,APT 152B,68aebcc30234bf84,"1480 RT 46 W, PARSIPPANY, NJ"
-74.4384352,40.8034248,55,MORRISTOWN,,NJ,7960,,CHIMNEY RIDGE DR,,d623f4f23a865419,"55 CHIMNEY RIDGE DR, MORRISTOWN, NJ"
-74.7700252,40.7698516,161,LONG VALLEY,,NJ,7853,,FAIRMOUNT RD,,5a8118ead9145722,"161 FAIRMOUNT RD, LONG VALLEY, NJ"
-74.3778562,40.7367298,16,CHATHAM,,NJ,7928,,MYRTLE AVE,,d4d0002ce86d0026,"16 MYRTLE AVE, CHATHAM, NJ"
-74.390344,40.7639919,40,FLORHAM PARK,,NJ,7932,,PUDDINGSTONE WAY,,a68af4027137ff5e,"40 PUDDINGSTONE WAY, FLORHAM PARK, NJ"
-74.6452437,40.9100418,521,LANDING,,NJ,7850,,CURTIS RD,,d62cde676aae8987,"521 CURTIS RD, LANDING, NJ"
-74.4477128,40.8538851,48,PARSIPPANY,,NJ,7054,,FARMINGDALE DR,,e364de90144c10a1,"48 FARMINGDALE DR, PARSIPPANY, NJ"
-74.576724,40.8097065,47,RANDOLPH,,NJ,7869,,WOODLAND RD,,300aab9489a3a845,"47 WOODLAND RD, RANDOLPH, NJ"
-74.3770714,40.7676829,7,FLORHAM PARK,,NJ,7932,,VENTURI CT,,c8c9a431b3346a25,"7 VENTURI CT, FLORHAM PARK, NJ"
-74.4657662,40.8082407,62,MORRISTOWN,,NJ,7960,,HIGHLAND AVE,,335addea15a28a13,"62 HIGHLAND AVE, MORRISTOWN, NJ"
-74.4599369,40.6925174,368,GILLETTE,,NJ,7933,,MEYERSVILLE RD,,8df04b6bbb315702,"368 MEYERSVILLE RD, GILLETTE, NJ"
-74.67565,40.8386726,19,SUCCASUNNA,,NJ,7876,,PARKVIEW DR,,44a87a508ade58ca,"19 PARKVIEW DR, SUCCASUNNA, NJ"
-74.3238029,40.9982288,46,RIVERDALE,,NJ,7457,,MOUNTAIN VIEW CT,,7dc7ee34e8585bf4,"46 MOUNTAIN VIEW CT, RIVERDALE, NJ"
-74.4743549,40.7926462,17,MORRISTOWN,,NJ,7960,,FRANKLIN ST,,7478f866118b4724,"17 FRANKLIN ST, MORRISTOWN, NJ"
-74.4297783,40.8600175,11,PARSIPPANY,,NJ,7054,,FAIRFIELD RD,,28f305e785832334,"11 FAIRFIELD RD, PARSIPPANY, NJ"
-74.6362941,40.9224979,133,MOUNT ARLINGTON,,NJ,7856,,SCHMITZ TER,,ae42a04436fd95e8,"133 SCHMITZ TER, MOUNT ARLINGTON, NJ"
-74.7047747,40.8895017,46,FLANDERS,,NJ,7836,,OLD LEDGEWOOD RD,,a35c640fa08a89d4,"46 OLD LEDGEWOOD RD, FLANDERS, NJ"
-74.3227828,40.9920916,6310,RIVERDALE,,NJ,7457,,BROOKHAVEN CT,,9add1af6b740f5f2,"6310 BROOKHAVEN CT, RIVERDALE, NJ"
